PLAYER,TEAM,AGE,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",BLK,BLKA,PF,PFD,
Cameron Payne,PHX,27,58,46,12,22.0,1.3,0.8,0.9,4.9,7.4,6.6,4.9,20.3,0.3,0.6,2.1,1.7,
Naz Reid,MIN,22,77,42,35,15.8,1.2,1.7,0.4,4.6,5.5,4.6,4.6,14.1,0.9,0.4,2.2,1.7,
Isaiah Stewart,DET,20,71,21,50,25.6,0.9,2.3,1.0,6.3,8.6,6.5,5.9,25.1,1.1,0.5,3.0,1.7,
Anfernee Simons,POR,22,57,25,32,29.5,2.4,1.1,1.5,4.0,9.4,7.6,8.3,28.8,0.1,0.6,1.9,1.7,
Daniel Theis,BOS,30,47,20,27,20.8,1.0,1.4,0.5,4.7,9.1,5.7,5.8,19.6,0.7,0.3,2.4,1.7,
Goga Bitadze,IND,22,50,17,33,14.6,0.9,1.6,0.5,4.3,5.6,4.2,4.6,16.9,0.8,0.5,2.1,1.7,
Robin Lopez,ORL,34,36,9,27,17.0,0.6,1.8,0.1,5.8,6.0,4.9,4.5,16.5,0.5,0.1,1.9,1.6,
Cameron Johnson,PHX,26,66,50,16,26.2,2.1,1.3,1.9,3.2,8.6,7.2,5.7,25.1,0.2,0.4,1.7,1.6,
Cedi Osman,CLE,27,66,37,29,22.1,1.7,1.0,2.0,3.4,8.2,6.3,6.0,22.8,0.2,0.4,1.9,1.6,
Cam Reddish,NYK,22,49,20,29,20.7,1.4,0.8,1.3,3.2,7.8,5.5,5.6,21.1,0.3,0.5,1.2,1.6,
Lindell Wigginton,MIL,24,19,11,8,10.5,0.3,0.0,0.5,1.8,4.8,3.7,4.6,13.4,0.1,0.3,0.9,1.6,
Seth Curry,BKN,31,64,38,26,33.3,2.2,1.0,2.3,2.5,10.5,9.0,9.9,32.0,0.2,0.2,2.3,1.6,
Cody Martin,CHA,26,71,41,30,26.3,1.6,0.9,1.7,3.7,9.2,8.1,7.7,25.7,0.5,0.4,1.6,1.6,
Talen Horton-Tucker,LAL,21,60,23,37,25.2,1.7,0.7,1.4,5.1,8.6,6.3,6.9,25.8,0.5,0.5,2.5,1.6,
Brook Lopez,MIL,34,13,10,3,23.0,1.5,2.5,0.3,6.5,7.6,4.6,6.4,19.8,1.2,0.4,2.6,1.6,
Georgios Kalaitzakis,OKC,23,13,8,5,16.4,1.1,0.2,0.6,3.1,6.4,5.8,6.5,18.9,0.2,0.0,1.5,1.6,
Trendon Watford,POR,21,48,16,32,18.1,1.2,1.3,1.6,5.4,7.4,4.9,6.0,17.7,0.6,0.4,2.4,1.6,
R.J. Hampton,ORL,21,64,15,49,21.9,1.1,0.9,1.7,3.3,8.1,5.8,6.2,21.0,0.2,0.6,1.6,1.6,
Frank Jackson,DET,24,53,9,44,22.0,1.7,1.3,1.2,3.5,7.4,5.6,5.3,22.6,0.2,0.5,1.7,1.6,
Cody Zeller,POR,29,27,13,14,13.1,0.5,1.2,0.4,3.7,4.7,3.3,2.9,12.7,0.2,0.5,2.1,1.6,
Tyler Cook,CHI,24,20,13,7,10.0,0.2,0.6,0.3,2.3,3.0,3.1,3.6,12.6,0.2,0.3,1.4,1.6,
Precious Achiuwa,TOR,22,73,46,27,23.6,1.7,1.6,1.4,5.3,6.6,7.0,5.4,21.8,0.6,0.7,2.1,1.5,
Tre Jones,SAS,22,69,32,37,16.6,1.1,0.6,1.0,3.9,5.9,5.5,3.9,17.3,0.1,0.4,1.1,1.5,
Caleb Martin,MIA,26,60,37,23,22.9,2.0,1.0,1.7,4.3,7.8,6.9,6.0,19.7,0.5,0.4,1.7,1.5,
Desmond Bane,MEM,23,76,53,23,29.8,2.7,2.2,3.4,5.4,8.6,8.0,8.5,28.3,0.4,0.9,2.6,1.5,
Bruce Brown,BKN,25,72,37,35,24.6,1.7,1.1,1.9,5.9,9.1,7.3,7.1,24.6,0.7,0.5,2.4,1.5,
Kenrich Williams,OKC,27,49,17,32,21.9,1.4,1.2,0.8,3.6,7.1,5.4,3.3,19.1,0.2,0.4,1.7,1.5,
Josh Jackson,SAC,25,51,12,39,16.3,1.1,0.7,1.0,2.9,6.8,4.2,3.7,17.1,0.4,0.4,1.7,1.5,
Terrence Ross,ORL,31,63,14,49,23.0,1.4,0.6,0.3,2.8,8.7,6.3,5.6,24.0,0.2,0.4,1.1,1.5,
Bobby Portis,MIL,27,72,46,26,28.2,2.0,2.8,1.4,6.1,8.7,7.4,5.7,23.9,0.7,0.7,2.4,1.5,
Gabe York,IND,28,2,0,2,10.7,2.0,1.5,0.5,1.0,3.5,3.5,1.0,11.0,0.5,0.0,2.0,1.5,
Kris Dunn,POR,28,14,1,13,24.0,1.5,0.4,1.0,5.6,12.8,8.1,8.9,28.3,0.2,0.8,2.7,1.5,
Sekou Doumbouya,LAL,21,2,0,2,8.2,1.5,2.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,0.5,0.5,1.5,
Maxi Kleber,DAL,30,59,36,23,24.6,0.8,0.8,0.4,1.9,6.5,7.0,6.0,22.2,1.0,0.2,2.3,1.5,
Jeremy Lamb,SAC,29,56,23,33,16.7,1.1,0.7,0.7,1.8,5.3,4.9,4.1,17.9,0.4,0.2,1.1,1.5,
Davion Mitchell,SAC,23,75,28,47,27.7,1.9,0.9,1.0,4.6,10.3,9.0,7.1,28.6,0.3,0.5,1.9,1.5,
Nickeil Alexander-Walker,UTA,23,65,29,36,22.6,1.7,1.1,1.2,3.9,8.1,6.0,5.0,21.1,0.4,0.7,1.6,1.5,
T.J. McConnell,IND,30,27,9,18,24.2,1.2,0.6,0.6,5.6,9.0,7.3,6.3,26.4,0.4,0.4,2.0,1.4,
Larry Nance Jr.,NOP,29,46,19,27,22.6,1.3,1.6,0.7,4.4,8.0,5.8,6.2,23.2,0.4,0.2,1.8,1.4,
Malik Monk,LAL,24,76,32,44,28.1,2.1,1.2,2.7,5.3,9.4,7.8,8.7,30.9,0.4,0.4,1.8,1.4,
Jaylen Hoard,OKC,23,7,2,5,34.2,1.4,3.7,0.3,9.4,11.6,11.1,11.3,36.6,0.7,1.4,2.0,1.4,
Rui Hachimura,WAS,24,42,16,26,22.5,1.4,0.9,1.4,4.6,7.7,5.2,5.2,21.9,0.2,0.4,1.3,1.4,
Thomas Bryant,WAS,24,27,8,19,16.3,0.7,0.9,0.7,4.1,4.8,4.6,3.7,17.0,0.8,0.3,1.6,1.4,
Dewayne Dedmon,MIA,32,67,43,24,15.9,0.7,1.5,0.2,4.1,6.0,4.5,3.7,13.7,0.6,0.3,2.6,1.4,
Chimezie Metu,SAC,25,60,23,37,21.3,1.5,0.7,0.8,4.2,8.6,6.9,5.9,22.0,0.5,0.5,1.6,1.4,
Shake Milton,PHI,25,55,34,21,21.4,1.4,0.8,1.0,4.1,7.2,5.9,7.3,19.6,0.3,0.4,1.8,1.4,
Lance Stephenson,IND,31,46,11,35,17.7,1.3,0.5,0.7,3.5,6.6,4.7,5.5,18.7,0.1,0.4,2.1,1.4,
Obi Toppin,NYK,24,72,32,40,17.1,1.7,1.4,1.7,5.4,5.3,4.3,2.9,14.1,0.5,0.4,1.4,1.4,
Alex Len,SAC,28,39,17,22,15.9,0.7,1.3,0.4,4.4,5.1,5.6,4.9,17.2,0.6,0.3,2.6,1.4,
Dennis Smith Jr.,POR,24,37,15,22,17.3,0.8,0.5,0.8,3.4,5.5,4.2,3.5,14.8,0.3,0.5,1.4,1.4,
Deni Avdija,WAS,21,82,35,47,24.2,1.1,0.6,0.9,3.9,7.7,6.1,4.3,22.5,0.5,0.5,2.3,1.4,
Coby White,CHI,22,61,32,29,27.5,1.8,1.0,1.7,3.8,8.4,7.4,6.6,29.4,0.2,0.4,2.2,1.4,
Amir Coffey,LAC,24,69,33,36,22.7,1.5,0.9,1.6,3.0,7.5,7.6,6.9,24.1,0.2,0.4,1.3,1.4,
Josh Christopher,HOU,20,74,18,56,18.0,1.9,0.8,1.5,4.3,8.4,5.7,5.8,21.6,0.2,0.5,1.3,1.4,
Ben McLemore,POR,29,64,20,44,20.1,2.1,1.1,1.7,1.3,7.8,6.0,6.9,19.6,0.2,0.3,1.6,1.4,
De'Anthony Melton,MEM,23,73,49,24,22.7,1.9,1.2,2.7,3.4,7.5,6.3,5.5,22.5,0.5,0.5,1.8,1.4,
Duane Washington Jr.,IND,22,48,12,36,20.2,0.9,0.8,1.5,3.0,7.9,5.4,6.0,21.5,0.1,0.6,1.4,1.4,
Josh Richardson,SAS,28,65,38,27,24.6,1.9,1.0,0.9,2.7,8.3,6.6,5.2,22.9,0.4,0.4,1.8,1.4,
Joshua Primo,SAS,19,50,22,28,19.3,0.8,0.8,0.7,2.1,6.8,6.6,5.5,19.5,0.5,0.2,1.6,1.3,
Grant Williams,BOS,23,77,49,28,24.4,1.1,0.8,0.8,2.5,8.5,6.1,6.1,22.7,0.7,0.2,2.4,1.3,
Cassius Stanley,DET,22,9,3,6,17.2,0.9,0.4,0.3,3.3,5.6,4.8,4.2,18.9,0.2,0.2,1.9,1.3,
Cheick Diallo,DET,25,3,0,3,10.2,1.3,1.3,0.0,2.0,6.7,2.0,4.3,14.0,0.0,0.3,2.0,1.3,
Derrick Walton Jr.,DET,27,3,1,2,36.1,2.3,0.0,0.7,1.3,11.0,9.3,8.0,37.3,1.3,0.3,2.7,1.3,
Micah Potter,DET,24,3,2,1,10.3,0.0,3.0,0.0,2.7,9.3,3.7,5.7,11.3,0.3,0.0,1.3,1.3,
Wes Iwundu,ATL,27,3,2,1,27.4,1.7,0.7,1.0,1.3,5.7,6.0,7.3,35.3,0.0,1.3,2.7,1.3,
Bones Hyland,DEN,21,69,41,28,19.0,1.4,0.7,1.3,2.2,6.4,4.7,5.2,19.5,0.3,0.6,2.2,1.3,
Devin Vassell,SAS,21,71,29,42,27.3,2.0,1.5,1.8,3.5,9.1,7.7,6.5,28.0,0.6,0.4,2.0,1.3,
Chris Silva,MIA,25,10,7,3,9.1,0.6,0.7,0.0,1.6,3.9,1.8,2.4,6.4,0.1,0.3,2.0,1.3,
Lonnie Walker IV,SAS,23,70,27,43,23.0,2.0,1.0,1.6,3.9,7.3,7.5,5.4,25.5,0.3,0.4,1.4,1.3,
P.J. Tucker,MIA,37,71,45,26,27.9,1.2,1.3,0.3,3.3,9.5,7.1,7.4,23.4,0.2,0.3,2.3,1.3,
Stanley Johnson,LAL,25,48,16,32,22.8,0.8,0.6,0.9,3.1,7.8,6.6,7.2,25.7,0.3,0.4,2.3,1.3,
Greg Monroe,MIN,31,14,7,7,13.9,1.1,1.9,0.6,4.6,4.4,4.6,3.5,13.9,0.7,0.7,1.7,1.3,
Javonte Green,CHI,28,65,38,27,23.4,1.3,1.2,1.7,4.3,7.4,6.5,5.9,24.1,0.5,0.3,2.0,1.3,
Derrick Jones Jr.,CHI,25,51,28,23,17.6,0.8,1.4,0.8,3.3,5.3,5.1,4.2,18.5,0.6,0.4,2.1,1.3,
Naji Marshall,NOP,24,55,23,32,13.4,1.1,0.7,1.3,3.1,4.9,3.5,3.9,13.1,0.1,0.3,1.3,1.3,
Olivier Sarr,OKC,23,22,6,16,19.1,0.9,1.5,0.6,3.6,7.5,5.2,4.4,17.1,0.7,0.5,2.4,1.3,
Wenyen Gabriel,LAL,25,26,8,18,13.8,0.4,1.3,0.4,3.5,4.4,3.8,3.3,14.4,0.4,0.6,2.6,1.3,
Zeke Nnaji,DEN,21,41,24,17,17.0,1.3,1.7,0.6,2.7,5.9,3.8,4.3,16.7,0.3,0.5,1.9,1.3,
Gabe Vincent,MIA,25,68,47,21,23.4,1.5,0.7,0.5,2.1,7.7,6.4,6.0,19.6,0.2,0.3,2.3,1.3,
Brad Wanamaker,WAS,32,23,10,13,13.9,0.7,0.2,0.5,1.4,5.1,4.0,4.6,13.3,0.3,0.5,2.0,1.3,
Aaron Wiggins,OKC,23,50,13,37,24.2,1.2,1.2,1.3,4.4,7.5,7.2,5.8,23.5,0.2,0.4,1.9,1.3,
Patty Mills,BKN,33,81,44,37,29.0,1.4,1.2,1.4,1.2,10.3,8.4,8.7,29.2,0.2,0.3,1.4,1.3,
CJ Elleby,POR,21,58,17,41,20.2,1.3,0.9,1.0,2.7,7.8,5.9,6.3,20.1,0.3,0.2,2.0,1.3,
Kevon Looney,GSW,26,82,53,29,21.1,0.8,1.6,0.3,4.8,7.5,5.6,5.8,19.9,0.6,0.4,2.6,1.3,
Damion Lee,GSW,29,63,41,22,19.9,1.3,0.8,0.9,2.9,6.9,5.2,5.2,18.3,0.1,0.2,1.5,1.3,
Furkan Korkmaz,PHI,24,67,44,23,21.1,1.2,0.6,0.9,2.7,6.7,6.7,6.2,20.4,0.1,0.3,0.9,1.3,
D.J. Wilson,TOR,26,4,2,2,13.5,2.0,0.5,1.5,4.0,6.3,6.3,4.3,14.5,0.3,0.3,1.5,1.3,
Klay Thompson,GSW,32,32,17,15,29.4,3.1,2.4,3.0,4.4,10.3,7.9,8.6,28.4,0.5,0.4,1.7,1.3,
Keon Johnson,POR,20,37,8,29,18.8,0.9,0.9,0.8,3.2,7.0,6.9,6.2,19.6,0.3,0.6,1.9,1.2,
Killian Hayes,DET,20,66,21,45,25.0,1.3,0.7,0.9,3.4,8.9,6.8,5.9,24.8,0.5,0.5,2.8,1.2,
Tre Mann,OKC,21,60,17,43,22.8,1.6,1.1,0.6,3.6,8.4,7.3,4.8,25.0,0.2,0.6,1.7,1.2,
Evan Fournier,NYK,29,80,36,44,29.5,1.6,1.0,1.4,2.8,9.8,7.9,8.3,28.4,0.3,0.4,2.3,1.2,
Moses Brown,CLE,22,40,19,21,8.6,0.6,0.8,0.4,3.2,3.0,2.1,2.5,7.4,0.4,0.2,1.3,1.2,
Cam Thomas,BKN,20,67,32,35,17.6,1.1,0.8,1.1,3.0,6.1,5.0,4.9,17.8,0.1,0.4,1.0,1.2,
Jae Crowder,PHX,31,67,54,13,28.1,1.5,0.7,0.9,1.5,7.2,8.1,6.4,26.5,0.4,0.1,2.6,1.2,
Jalen McDaniels,CHA,24,55,34,21,16.3,0.9,0.7,0.8,2.8,5.0,5.6,4.8,15.1,0.4,0.1,1.7,1.2,
Al Horford,BOS,35,69,46,23,29.1,1.5,1.5,0.6,4.5,8.1,6.8,6.4,23.8,1.3,0.2,1.9,1.2,
Nathan Knight,MIN,24,37,22,15,7.2,0.4,0.4,0.4,2.2,2.4,2.1,1.3,6.4,0.2,0.3,1.1,1.2,
Jaden McDaniels,MIN,21,70,40,30,25.8,1.7,1.2,1.2,4.5,8.7,7.7,7.0,23.4,0.8,0.4,3.2,1.2,
Lou Williams,ATL,35,56,33,23,14.3,0.5,0.4,0.4,1.8,3.8,3.9,3.3,14.0,0.1,0.2,0.9,1.2,
Robert Williams III,BOS,24,61,40,21,29.6,1.7,2.8,0.6,8.8,9.2,7.7,7.7,25.2,2.2,0.2,2.2,1.2,
Terry Taylor,IND,22,33,7,26,21.6,1.3,2.9,0.8,7.2,8.8,6.2,6.7,24.1,0.2,0.4,1.8,1.2,
Taurean Prince,MIN,28,69,40,29,17.1,1.5,0.6,1.3,2.2,6.0,5.3,5.2,16.5,0.3,0.2,1.7,1.2,
Kenyon Martin Jr.,HOU,21,79,20,59,21.0,1.5,1.6,1.4,5.5,9.6,6.9,6.7,24.3,0.5,0.6,1.4,1.2,
Brandon Knight,DAL,30,5,2,3,12.9,1.4,0.4,1.2,2.4,5.6,5.2,4.2,12.4,0.0,0.4,1.0,1.2,
Reggie Perry,POR,22,10,0,10,18.7,2.3,1.6,1.2,6.4,7.5,7.9,6.6,19.0,0.6,0.3,3.3,1.2,
Gary Harris,ORL,27,61,16,45,28.4,2.0,1.0,1.8,3.3,9.8,7.7,7.3,26.9,0.1,0.5,1.8,1.2,
JaMychal Green,DEN,31,67,36,31,16.2,1.4,1.5,0.8,3.4,6.0,3.8,4.3,16.2,0.4,0.5,2.4,1.2,
Braxton Key,DET,25,11,5,6,17.9,1.0,1.2,1.4,4.9,4.5,4.3,3.1,18.7,1.0,0.4,2.4,1.2,
Aaron Holiday,PHX,25,63,34,29,16.2,1.2,0.5,0.7,3.1,5.0,4.2,3.8,15.1,0.1,0.3,1.5,1.2,
David Nwaba,HOU,29,46,6,40,13.2,1.0,1.1,1.0,3.0,5.8,3.7,4.6,14.1,0.4,0.5,1.2,1.2,
Kyle Anderson,MEM,28,69,46,23,21.5,1.5,1.1,1.0,4.6,6.9,5.8,5.8,22.6,0.7,0.4,1.6,1.2,
Andre Iguodala,GSW,38,31,20,11,19.4,0.7,0.3,0.5,1.7,5.6,5.5,4.5,16.3,0.7,0.1,1.1,1.2,
George Hill,MIL,36,54,36,18,23.2,1.2,0.6,1.0,2.5,6.6,6.0,5.1,20.0,0.1,0.3,1.3,1.1,
Monte Morris,DEN,26,75,44,31,29.9,1.7,0.9,1.7,4.2,10.4,6.8,7.5,32.0,0.2,0.5,1.2,1.1,
Greg Brown III,POR,20,48,14,34,13.3,0.9,0.9,0.7,2.5,5.8,4.0,4.8,12.5,0.5,0.4,1.9,1.1,
Khem Birch,TOR,29,55,34,21,18.0,0.9,1.3,0.3,3.4,5.7,4.6,4.7,16.2,0.5,0.2,1.9,1.1,
Josh Okogie,MIN,23,49,23,26,10.5,0.7,0.5,0.2,1.1,3.7,2.8,2.7,9.0,0.2,0.2,1.1,1.1,
Vernon Carey Jr.,WAS,21,7,3,4,6.3,0.6,1.6,0.0,1.7,2.7,3.1,3.1,6.9,0.1,0.0,0.6,1.1,
Wesley Matthews,MIL,35,49,33,16,20.5,0.5,0.9,0.7,1.4,5.9,5.6,4.4,18.4,0.2,0.2,1.8,1.1,
Brandon Boston Jr.,LAC,20,51,26,25,14.9,1.1,0.5,1.0,2.5,5.5,5.2,4.1,15.9,0.3,0.5,0.8,1.1,
Buddy Hield,IND,29,81,26,55,30.8,3.0,2.2,2.9,3.3,12.0,9.8,8.3,33.8,0.3,0.7,2.3,1.1,
Terence Davis,SAC,24,30,11,19,17.9,1.8,1.0,2.0,3.8,6.1,5.8,3.8,17.5,0.4,0.5,2.3,1.1,
Otto Porter Jr.,GSW,28,63,41,22,22.2,1.3,1.3,1.0,2.8,7.4,5.3,5.6,19.7,0.5,0.1,1.3,1.1,
Ty Jerome,OKC,24,48,15,33,16.7,0.9,0.5,0.7,2.6,5.5,3.9,3.4,15.2,0.1,0.4,1.5,1.1,
Danuel House Jr.,UTA,28,42,18,24,17.3,1.4,0.7,1.1,1.4,6.3,4.6,4.5,16.5,0.4,0.3,1.2,1.1,
Lonzo Ball,CHI,24,35,22,13,34.6,1.9,1.6,2.5,2.6,11.4,9.2,8.6,32.9,0.9,0.5,2.4,1.1,
Jaylen Nowell,MIN,22,62,37,25,15.7,1.4,0.5,1.6,3.6,5.2,4.7,4.0,14.3,0.2,0.3,1.2,1.1,
Michael Porter Jr.,DEN,23,9,5,4,29.4,2.0,0.9,2.3,3.8,10.3,6.3,7.2,31.6,0.2,0.4,1.8,1.1,
Tomas Satoransky,WAS,30,55,21,34,16.5,0.5,0.5,0.3,1.8,5.9,4.2,4.0,16.2,0.1,0.2,1.3,1.1,
P.J. Washington,CHA,23,65,33,32,27.2,1.6,1.2,1.2,4.2,9.0,7.8,7.5,26.7,0.9,0.4,2.3,1.1,
Justin Holiday,SAC,33,74,25,49,27.8,1.5,0.8,1.1,1.5,9.4,7.4,7.9,28.5,0.4,0.2,2.1,1.1,
Mike Muscala,OKC,30,43,15,28,13.8,0.9,0.9,0.4,1.6,4.5,3.5,3.0,12.7,0.6,0.2,1.3,1.1,
Rudy Gay,UTA,35,55,34,21,18.9,1.1,1.4,0.6,2.3,6.4,4.5,4.3,16.8,0.3,0.3,1.7,1.1,
